iter	Accuracy	Logloss
100	0.9545833333	0.1448439789
101	0.9541666667	0.1447515869
102	0.955	0.144357605
103	0.955	0.143641154
104	0.9558333333	0.1425886408
105	0.9554166667	0.142103742
106	0.9566666667	0.1403752772
107	0.9570833333	0.1396358999
108	0.9579166667	0.1389122772
109	0.9570833333	0.1384461721
110	0.9575	0.1383056768
111	0.9575	0.1379969406
112	0.9575	0.1379093424
113	0.9570833333	0.1374658712
114	0.9575	0.1371865845
115	0.9583333333	0.1354702886
116	0.9583333333	0.1351234945
117	0.95875	0.13503184
118	0.95875	0.1349967448
119	0.9591666667	0.1345622508
120	0.9591666667	0.134416364
121	0.9595833333	0.1326197815
122	0.9604166667	0.1319018046
123	0.96	0.1316476186
124	0.9595833333	0.1312366994
125	0.9595833333	0.1311398315
126	0.96	0.130782725
127	0.9604166667	0.1305629603
128	0.9616666667	0.1299966558
129	0.9616666667	0.1294984563
130	0.9616666667	0.1291941579
131	0.9616666667	0.1287999725
132	0.9616666667	0.1287047323
133	0.9620833333	0.1281316757
134	0.9620833333	0.1279179255
135	0.9620833333	0.1276516469
136	0.9620833333	0.127139384
137	0.9616666667	0.1267450078
138	0.9616666667	0.1265646489
139	0.9625	0.12578228
140	0.9629166667	0.1252811686
141	0.9633333333	0.1249304962
142	0.9633333333	0.1248570887
143	0.96375	0.1247361628
144	0.96375	0.1244868342
145	0.9633333333	0.1240890249
146	0.96375	0.1239160665
147	0.9641666667	0.1237389628
148	0.9641666667	0.1235968018
149	0.9645833333	0.1231435649
150	0.9645833333	0.1230501811
151	0.9645833333	0.1230309931
152	0.9645833333	0.1227656301
153	0.9641666667	0.1226379649
154	0.9641666667	0.1225204086
155	0.9641666667	0.1223985418
156	0.9641666667	0.1223633321
157	0.9645833333	0.1219563039
158	0.9641666667	0.1218475469
159	0.96375	0.1213777669
160	0.9641666667	0.1210763295
161	0.96375	0.1206602224
162	0.96375	0.1198881531
163	0.9641666667	0.119787178
164	0.9645833333	0.119669164
165	0.9641666667	0.1192637253
166	0.9641666667	0.1192527517
167	0.9645833333	0.11875398
168	0.9645833333	0.1184303411
169	0.9645833333	0.1181728999
170	0.9645833333	0.1177355448
171	0.965	0.1176612981
172	0.9654166667	0.1174464417
173	0.9658333333	0.1167649587
174	0.9658333333	0.1164554596
175	0.9670833333	0.1157669576
176	0.9670833333	0.1154263051
177	0.9670833333	0.1151979319
178	0.9670833333	0.1151402918
179	0.9666666667	0.1149631755
180	0.9666666667	0.1145969899
181	0.9666666667	0.1144559606
182	0.9675	0.1139061864
183	0.9683333333	0.1132991409
184	0.96875	0.1130682882
185	0.96875	0.112652626
186	0.9683333333	0.1124610647
187	0.9691666667	0.1122671127
188	0.9691666667	0.111947759
189	0.96875	0.1119055303
190	0.96875	0.1118734741
191	0.9683333333	0.1116512807
192	0.9691666667	0.1114225515
193	0.9695833333	0.1109677378
194	0.97	0.1107796097
195	0.97	0.1104402161
196	0.9695833333	0.1101147207
197	0.9695833333	0.1095320892
198	0.9695833333	0.1095254771
199	0.9695833333	0.1095016479
200	0.9695833333	0.1094838079
201	0.9691666667	0.1090113449
202	0.9691666667	0.1088517253
203	0.9695833333	0.1085960897
204	0.9695833333	0.1082967504
205	0.9691666667	0.1080860901
206	0.9691666667	0.107866389
207	0.9691666667	0.1074791845
208	0.9695833333	0.1073605092
209	0.9695833333	0.1070346069
210	0.9695833333	0.107029012
211	0.9695833333	0.1068960698
212	0.9695833333	0.1065867043
213	0.97	0.1063321559
214	0.97	0.1063290914
215	0.97	0.1063132668
216	0.9708333333	0.1062677129
217	0.9708333333	0.1059547424
218	0.9708333333	0.1057838949
219	0.9708333333	0.105460345
220	0.9704166667	0.1052563858
221	0.9704166667	0.1052043088
222	0.9704166667	0.1049930636
223	0.9708333333	0.104744161
224	0.9708333333	0.1046469816
225	0.9708333333	0.1043082809
226	0.9708333333	0.1042501577
227	0.9708333333	0.1039035161
228	0.9716666667	0.1035766856
229	0.9716666667	0.1033495903
230	0.9720833333	0.1027799988
231	0.9720833333	0.1027404022
232	0.9720833333	0.1026883698
233	0.9720833333	0.1025679715
234	0.9720833333	0.1021834437
235	0.9720833333	0.1021384048
236	0.9725	0.1017792702
237	0.9725	0.1017014949
238	0.9720833333	0.1015853882
239	0.9725	0.1011000951
240	0.9725	0.1010990779
241	0.9725	0.1010910416
242	0.9729166667	0.100808932
243	0.9729166667	0.1002909215
244	0.9729166667	0.1001117833
245	0.9729166667	0.1000953039
246	0.9729166667	0.09992392222
247	0.9729166667	0.09974271774
248	0.9729166667	0.09935176214
249	0.9729166667	0.09921918869
250	0.9729166667	0.09905095418
251	0.9733333333	0.0986548996
252	0.9733333333	0.09830342611
253	0.9733333333	0.09828219096
254	0.9733333333	0.0982359759
255	0.9733333333	0.09806519826
256	0.9733333333	0.09804393768
257	0.9733333333	0.09792098999
258	0.9733333333	0.09784057617
259	0.9733333333	0.09761746724
260	0.9733333333	0.0973291715
261	0.9733333333	0.09730600993
262	0.9733333333	0.09692841848
263	0.9733333333	0.09670724869
264	0.97375	0.09613262177
265	0.9741666667	0.09594498316
266	0.9741666667	0.09575527191
267	0.97375	0.09547461192
268	0.9741666667	0.095286719
269	0.9741666667	0.0949582545
270	0.9741666667	0.09488185883
271	0.9741666667	0.09483287811
272	0.9745833333	0.09430330276
273	0.9741666667	0.09400827408
274	0.9741666667	0.09397412618
275	0.9745833333	0.09362292608
276	0.9741666667	0.09342479706
277	0.9741666667	0.09330287933
278	0.9741666667	0.09316926956
279	0.9741666667	0.09287598292
280	0.9741666667	0.09269705455
281	0.9754166667	0.0923510615
282	0.9758333333	0.0918785731
283	0.9758333333	0.09173922221
284	0.9758333333	0.09153613408
285	0.9758333333	0.09141822815
286	0.9758333333	0.09125581741
287	0.97625	0.09085892359
288	0.97625	0.09057450612
289	0.97625	0.09038698196
290	0.97625	0.09014205933
291	0.97625	0.09013934453
292	0.97625	0.08979766846
293	0.9766666667	0.08914456685
294	0.9766666667	0.08881281535
295	0.9766666667	0.08851903915
296	0.9766666667	0.08850763321
297	0.9766666667	0.08848743439
298	0.9766666667	0.08833080928
299	0.9766666667	0.08809926987
300	0.9766666667	0.08808038076
301	0.9766666667	0.08770762126
302	0.9766666667	0.08759595235
303	0.9766666667	0.08739950816
304	0.9766666667	0.08724606832
305	0.9766666667	0.08724392573
306	0.9766666667	0.08721373876
307	0.9766666667	0.08717417399
308	0.9766666667	0.08688954671
309	0.9766666667	0.08683177312
310	0.9775	0.08646172841
311	0.9770833333	0.08628170013
312	0.9775	0.08610851288
313	0.9775	0.08609898249
314	0.9775	0.0859703064
315	0.9779166667	0.08596280416
316	0.9779166667	0.08547499975
317	0.9779166667	0.08519446055
318	0.9783333333	0.08506477992
319	0.9783333333	0.08495974859
320	0.9783333333	0.08474399567
321	0.97875	0.08446464539
322	0.97875	0.08442462921
323	0.97875	0.08430714289
324	0.97875	0.08428951899
325	0.97875	0.08367132187
326	0.97875	0.08363383611
327	0.97875	0.08362744649
328	0.97875	0.08358398438
329	0.97875	0.08357130051
330	0.97875	0.08345556259
331	0.97875	0.08339658737
332	0.9791666667	0.08313041051
333	0.9791666667	0.08278947194
334	0.9791666667	0.08278501511
335	0.98	0.0825
336	0.98	0.08237682343
337	0.9795833333	0.08217288335
338	0.9795833333	0.08209143321
339	0.9795833333	0.08207785924
340	0.98	0.08195184072
341	0.98	0.08194711049
342	0.98	0.08176684062
343	0.98	0.0815859286
344	0.98	0.08154343923
345	0.9804166667	0.08151785533
346	0.9804166667	0.08140309652
347	0.9804166667	0.08117113113
348	0.9804166667	0.0811694781
349	0.9804166667	0.08100516001
350	0.9804166667	0.08099984487
351	0.9804166667	0.08097689946
352	0.9804166667	0.0809705925
353	0.9804166667	0.08096538544
354	0.9804166667	0.08080130259
355	0.9804166667	0.08076867421
356	0.9804166667	0.08074614207
357	0.9804166667	0.08073864619
358	0.9804166667	0.08057703018
359	0.9804166667	0.08053457896
360	0.9804166667	0.08040361404
361	0.9804166667	0.08022536596
362	0.9808333333	0.08001591365
363	0.9808333333	0.07999252955
364	0.9808333333	0.07992848714
365	0.9808333333	0.07970761617
366	0.9808333333	0.07945824305
367	0.98125	0.07921105703
368	0.98125	0.07906508128
369	0.98125	0.07899217606
370	0.98125	0.07896548589
371	0.9816666667	0.07892947515
372	0.9816666667	0.07891590118
373	0.9820833333	0.07845595042
374	0.9820833333	0.07815325419
375	0.9825	0.07794371287
376	0.9829166667	0.07771292369
377	0.9829166667	0.07765788396
378	0.9833333333	0.07759756088
379	0.9833333333	0.07758916219
380	0.9833333333	0.0775871404
381	0.98375	0.07735904694
382	0.98375	0.07699914296
383	0.98375	0.07697613398
384	0.98375	0.07669832865
385	0.98375	0.07650208791
386	0.9845833333	0.07620743434
387	0.9845833333	0.07614351273
388	0.9841666667	0.0760978508
389	0.9845833333	0.07597619375
390	0.9845833333	0.07596763611
391	0.9845833333	0.07595911662
392	0.9841666667	0.07583592733
393	0.9845833333	0.07569881439
394	0.9845833333	0.07568920135
395	0.9845833333	0.07564249674
396	0.9845833333	0.07549346288
397	0.9845833333	0.07548452377
398	0.9845833333	0.07538515091
399	0.985	0.07518324534
400	0.985	0.07500457764
401	0.985	0.0747770373
402	0.985	0.07454732895
403	0.985	0.07440624237
404	0.985	0.07420221329
405	0.985	0.07395434062
406	0.985	0.07384274801
407	0.985	0.07375010173
408	0.985	0.07373065948
409	0.985	0.07357192993
410	0.9845833333	0.07343814214
411	0.9845833333	0.07339180628
412	0.9845833333	0.07326035182
413	0.9845833333	0.07317470551
414	0.9845833333	0.07315666199
415	0.9845833333	0.07281488419
416	0.985	0.07268819809
417	0.985	0.07246901194
418	0.9845833333	0.0723260498
419	0.9845833333	0.07217967987
420	0.9845833333	0.07181269328
421	0.9845833333	0.07173151652
422	0.985	0.07169686635
423	0.985	0.07157524109
424	0.9845833333	0.07150034587
425	0.9858333333	0.07135402679
426	0.9858333333	0.07134532928
427	0.9866666667	0.0710356458
428	0.9866666667	0.07099395116
429	0.9866666667	0.07089482625
430	0.9866666667	0.07088754654
431	0.9866666667	0.07057830811
432	0.9870833333	0.07046848297
433	0.9870833333	0.07045123418
434	0.9870833333	0.07044270198
435	0.9879166667	0.07020139694
436	0.9879166667	0.07007979711
437	0.9866666667	0.06980222066
438	0.9870833333	0.06978737513
439	0.9870833333	0.06969536463
440	0.9875	0.06949670156
441	0.9879166667	0.06930755615
442	0.9879166667	0.06914635976
443	0.9875	0.06888882955
444	0.9875	0.06883323669
445	0.9879166667	0.06854927699
446	0.9875	0.06821444829
447	0.9879166667	0.06807935079
448	0.9879166667	0.06800063451
449	0.9879166667	0.06790433884
450	0.9875	0.06787454605
451	0.9875	0.06766512553
452	0.9875	0.06766212463
453	0.9879166667	0.06756034215
454	0.9879166667	0.06739528656
455	0.9875	0.06721924464
456	0.9875	0.06701079051
457	0.9879166667	0.06691919327
458	0.9879166667	0.0666886584
459	0.9879166667	0.06667194366
460	0.9879166667	0.06637345632
461	0.9879166667	0.06637247721
462	0.9875	0.06630671819
463	0.9879166667	0.0661021932
464	0.98875	0.06584908168
465	0.98875	0.06583684285
466	0.98875	0.06580972672
467	0.9891666667	0.0657365799
468	0.98875	0.06569172541
469	0.98875	0.06559909185
470	0.98875	0.0655384318
471	0.9891666667	0.06542353948
472	0.9891666667	0.06539855957
473	0.9891666667	0.0653769811
474	0.9891666667	0.06528849284
475	0.98875	0.06513710658
476	0.9895833333	0.06496786753
477	0.9895833333	0.06473751704
478	0.9895833333	0.06473470688
479	0.9895833333	0.06466401418
480	0.9895833333	0.06462521871
481	0.99	0.06438395818
482	0.99	0.06426518122
483	0.99	0.06415580114
484	0.99	0.06401151021
485	0.9904166667	0.06393686295
486	0.9904166667	0.06383671443
487	0.9904166667	0.06377978007
488	0.9904166667	0.06366943995
489	0.9904166667	0.06356641134
490	0.9904166667	0.06355942408
491	0.9904166667	0.06346879323
492	0.9904166667	0.06342051824
493	0.9904166667	0.06341907501
494	0.9904166667	0.06341733297
495	0.9904166667	0.06337188085
496	0.9904166667	0.06326972326
497	0.9904166667	0.06317768097
498	0.9904166667	0.06313570658
